Name,Calories,Cholesterol,Total_Fat,Sodium,Carbohydrates,Dietary_Fiber,Protein,Vit_A,Vit_C,Calcium,Iron,Serving,Price/Serving ($)
Frozen Broccoli,73.8,0,0.8,68.2,13.6,8.5,8,5867.4,160.2,159,2.3,10 Oz Pkg,0.16
"Carrots, Raw",23.7,0,0.1,19.2,5.6,1.6,0.6,15471,5.1,14.9,0.3,1/2 Cup Shredded,0.07
"Celery, Raw",6.4,0,0.1,34.8,1.5,0.7,0.3,53.6,2.8,16,0.2,1 Stalk,0.04
Frozen Corn,72.2,0,0.6,2.5,17.1,2,2.5,106.6,5.2,3.3,0.3,1/2 Cup,0.18
"Lettuce, Iceberg,Raw",2.6,0,0,1.8,0.4,0.3,0.2,66,0.8,3.8,0.1,1 Leaf,0.02
"Peppers, Sweet, Raw",20,0,0.1,1.5,4.8,1.3,0.7,467.7,66.1,6.7,0.3,1 Pepper,0.53
"Potatoes, Baked",171.5,0,0.2,15.2,39.9,3.2,3.7,0,15.6,22.7,4.3,1/2 Cup,0.06
Tofu,88.2,0,5.5,8.1,2.2,1.4,9.4,98.6,0.1,121.8,6.2,1/4 block,0.31
Roasted Chicken,277.4,129.9,10.8,125.6,0,0,42.2,77.4,0,21.9,1.8,1 lb chicken,0.84
Spaghetti W/ Sauce,358.2,0,12.3,1237.1,58.3,11.6,8.2,3055.2,27.9,80.2,2.3,1 1/2 Cup,0.78
"Tomato,Red,Ripe,Raw",25.8,0,0.4,11.1,5.7,1.4,1,766.3,23.5,6.2,0.6,"1 Tomato, 2-3/5 In",0.27
"Apple, Raw, w/Skin",81.4,0,0.5,0,21,3.7,0.3,73.1,7.9,9.7,0.2,"1 Fruit,3/Lb,Wo/Rf",0.24
Banana,104.9,0,0.5,1.1,26.7,2.7,1.2,92.3,10.4,6.8,0.4,1 Fruit,0.15
Grapes,15.1,0,0.1,0.5,4.1,0.2,0.2,24,1,3.4,0.1,10 Grapes,0.32
"Kiwifruit, Raw, Fresh",46.4,0,0.3,3.8,11.3,2.6,0.8,133,74.5,19.8,0.3,1 Medium,0.49
Oranges,61.6,0,0.2,0,15.4,3.1,1.2,268.6,69.7,52.4,0.1,"1 Medium, 2-5/8 Diam",0.15
Bagels,78,0,0.5,151.4,15.1,0.6,3,0,0,21,1,1 Oz,0.16
Wheat Bread,65,0,1,134.5,12.4,1.3,2.2,0,0,10.8,0.7,1 Sl,0.05
White Bread,65,0,1,132.5,11.8,1.1,2.3,0,0,26.2,0.8,1 Sl,0.06
Oatmeal Cookies,81,0,3.3,68.9,12.4,0.6,1.1,2.9,0.1,6.7,0.5,1 Cookie,0.09
Apple Pie,67.2,0,3.1,75.4,9.6,0.5,0.5,35.2,0.9,3.1,0.1,1 Oz,0.16
Chocolate Chip Cookies,78.1,5.1,4.5,57.8,9.3,0,0.9,101.8,0,6.2,0.4,1 Cookie,0.03
"Butter, Regular",35.8,10.9,4.1,41.3,0,0,0,152.9,0,1.2,0,1 Pat,0.05
