CASENO,OFFENSE,EVENTDT,EVENTTM,CVLEGEND,CVDOW,InDbDate,Block_Location,BLKADDR,City,State
22001146,THEFT MISD. (UNDER $950),01/08/2022 12:00:00 AM,1899-12-31T18:00:00.000,LARCENY,6,03/18/2022 12:00:00 AM,"1300 BLOCK SAN PABLO AVE
Berkeley, CA
(37.880229, -122.295798)",1300 BLOCK SAN PABLO AVE,Berkeley,CA
21051588,THEFT MISD. (UNDER $950),11/06/2021 12:00:00 AM,1899-12-31T16:46:00.000,LARCENY,6,03/18/2022 12:00:00 AM,"2600 BLOCK TELEGRAPH AVE
Berkeley, CA
(37.862915, -122.258707)",2600 BLOCK TELEGRAPH AVE,Berkeley,CA
21091523,THEFT FROM PERSON,12/01/2021 12:00:00 AM,1899-12-31T10:30:00.000,LARCENY,3,03/18/2022 12:00:00 AM,"3175 ADELINE ST
Berkeley, CA
(37.851283, -122.270358)",3175 ADELINE ST,Berkeley,CA
21043031,DISTURBANCE,09/19/2021 12:00:00 AM,1899-12-31T13:19:00.000,DISORDERLY CONDUCT,0,03/18/2022 12:00:00 AM,"1050 GILMAN ST
Berkeley, CA
(37.880312, -122.296641)",1050 GILMAN ST,Berkeley,CA
22002061,BURGLARY RESIDENTIAL,01/14/2022 12:00:00 AM,1899-12-31T12:36:00.000,BURGLARY - RESIDENTIAL,5,03/18/2022 12:00:00 AM,"2700 BLOCK WEBSTER ST
Berkeley, CA
(37.855798, -122.252708)",2700 BLOCK WEBSTER ST,Berkeley,CA
22012258,DISTURBANCE,03/17/2022 12:00:00 AM,1899-12-31T01:26:00.000,DISORDERLY CONDUCT,4,03/18/2022 12:00:00 AM,"1600 BLOCK DWIGHT WAY
Berkeley, CA
(37.862516, -122.27853)",1600 BLOCK DWIGHT WAY,Berkeley,CA
22002365,VEHICLE STOLEN,01/16/2022 12:00:00 AM,1899-12-31T02:00:00.000,MOTOR VEHICLE THEFT,0,03/18/2022 12:00:00 AM,"2700 BLOCK TELEGRAPH AVE
Berkeley, CA
(37.861411, -122.258907)",2700 BLOCK TELEGRAPH AVE,Berkeley,CA
21048416,BURGLARY AUTO,10/20/2021 12:00:00 AM,1899-12-31T11:00:00.000,BURGLARY - VEHICLE,3,03/18/2022 12:00:00 AM,"2900 BLOCK MARTIN LUTHER KING JR WAY
Berkeley, CA
(37.855998, -122.271278)",2900 BLOCK MARTIN LUTHER KING JR WAY,Berkeley,CA
21057960,VANDALISM,12/11/2021 12:00:00 AM,1899-12-31T12:00:00.000,VANDALISM,6,03/18/2022 12:00:00 AM,"2300 BLOCK DURANT AVE
Berkeley, CA
(37.867259, -122.26324)",2300 BLOCK DURANT AVE,Berkeley,CA
22009776,THEFT MISD. (UNDER $950),02/28/2022 12:00:00 AM,1899-12-31T18:00:00.000,LARCENY,1,03/18/2022 12:00:00 AM,"2047 LOS ANGELES AVE
Berkeley, CA
(37.889911, -122.270101)",2047 LOS ANGELES AVE,Berkeley,CA
22007477,VEHICLE STOLEN,12/24/2021 12:00:00 AM,1899-12-31T08:00:00.000,MOTOR VEHICLE THEFT,5,03/18/2022 12:00:00 AM,"1700 BLOCK SAN PABLO AVE
Berkeley, CA
(37.87325, -122.293558)",1700 BLOCK SAN PABLO AVE,Berkeley,CA
21047561,VEHICLE STOLEN,10/14/2021 12:00:00 AM,1899-12-31T20:00:00.000,MOTOR VEHICLE THEFT,4,03/18/2022 12:00:00 AM,"1700 BLOCK UNIVERSITY AVE
Berkeley, CA
(37.870948, -122.277329)",1700 BLOCK UNIVERSITY AVE,Berkeley,CA
21044966,ASSAULT/BATTERY MISD.,09/30/2021 12:00:00 AM,1899-12-31T12:45:00.000,ASSAULT,4,03/18/2022 12:00:00 AM,"2300 BLOCK SAN PABLO AVE
Berkeley, CA
(37.864385, -122.290697)",2300 BLOCK SAN PABLO AVE,Berkeley,CA
22004058,THEFT MISD. (UNDER $950),01/26/2022 12:00:00 AM,1899-12-31T19:16:00.000,LARCENY,3,03/18/2022 12:00:00 AM,"2100 BLOCK SHATTUCK AVE
Berkeley, CA
(37.871167, -122.268285)",2100 BLOCK SHATTUCK AVE,Berkeley,CA
21091489,BURGLARY COMMERCIAL,11/24/2021 12:00:00 AM,1899-12-31T13:43:00.000,BURGLARY - COMMERCIAL,3,03/18/2022 12:00:00 AM,"1900 BLOCK 4TH ST
Berkeley, CA
(37.86825, -122.300093)",1900 BLOCK 4TH ST,Berkeley,CA
21054764,DISTURBANCE,11/26/2021 12:00:00 AM,1899-12-31T05:36:00.000,DISORDERLY CONDUCT,5,03/18/2022 12:00:00 AM,"1600 BLOCK WALNUT ST
Berkeley, CA
(37.878407, -122.267962)",1600 BLOCK WALNUT ST,Berkeley,CA
22002510,ARSON,01/17/2022 12:00:00 AM,1899-12-31T19:35:00.000,ARSON,1,03/18/2022 12:00:00 AM,"1300 BLOCK SAN PABLO AVE
Berkeley, CA
(37.880229, -122.295798)",1300 BLOCK SAN PABLO AVE,Berkeley,CA
