code,name
AAPL,Apple Inc (AAPL)
AXP,American Express Co. (AXP)
BA,The Boeing Co. (BA)
BAC,Bank of America Corp. (BAC)
CAT,Caterpillar Inc. (CAT)
CSCO,Cisco Systems Inc. (CSCO)
CVX,Chevron Corporation (CVX)
DD,E.I. du Pont de Nemours and Co. (DD)
DIS,Disney (Walt) Co. (The) (DIS)
GE,General Electric Co (GE)
HD,Home Depot Inc (HD)
HPQ,Hewlett-Packard Co (HPQ)
IBM,International Business Machines Corp (IBM)
INTC,Intel Corp (INTC)
JNJ,Johnson & Johnson (JNJ)
JPM,JP Morgan Chase (JPM)
KO,Coca-Cola Co (The) (KO)
MCD,McDonald's Corp (MCD)
MMM,3M Co (MMM)
MRK,Merck & Co. Inc (MRK)
MSFT,Microsoft Corporation (MSFT)
PFE,Pfizer Inc (PFE)
PG,Procter & Gamble Co. (PG)
T,AT&T Inc (T)
TRV,Travelers Companies Inc (The) (TRV)
UTX,United Technologies Corp. (UTX)
VZ,Verizon Communications Inc (VZ)
WMT,Wal-Mart Stores (WMT)
XOM,Exxon Mobil Corp. (XOM)
